"County","Year","Days.with.AQI","Good.Days","Moderate.Days","Unhealthy.for.Sensitive.Groups.Days","Unhealthy.Days","Very.Unhealthy.Days","Hazardous.Days","Max.AQI","X90th.Percentile.AQI","Median.AQI","Days.CO","Days.NO2","Days.Ozone","Days.PM2.5","Days.PM10"
"Apache",2010,360,360,0,0,0,0,0,49,26,14,0,0,0,65,295
"Cochise",2010,363,244,115,4,0,0,0,112,67,45,0,0,324,37,2
"Coconino",2010,363,230,129,4,0,0,0,136,74,47,0,0,337,12,14
"Gila",2010,362,237,122,3,0,0,0,136,77,44,0,0,190,7,165
"La Paz",2010,213,121,88,4,0,0,0,105,80,48,0,0,213,0,0
"Maricopa",2010,365,86,250,27,2,0,0,170,100,64,0,58,207,69,31
"Mohave",2010,118,117,1,0,0,0,0,51,28,16,0,0,0,79,39
"Navajo",2010,364,279,83,2,0,0,0,112,61,44,0,0,359,2,3
"Pima",2010,365,204,156,5,0,0,0,141,80,49,0,5,294,9,57
"Pinal",2010,365,88,236,39,0,0,2,1786,101,69,0,0,136,8,221
"Santa Cruz",2010,165,91,68,6,0,0,0,119,84,47,0,0,0,55,110
"Yavapai",2010,263,219,43,1,0,0,0,122,61,42,0,0,207,56,0
"Yuma",2010,358,259,91,8,0,0,0,147,80,41,0,0,182,26,150
"Apache",2011,364,361,3,0,0,0,0,56,26,15,0,0,0,59,305
"Cochise",2011,352,200,141,11,0,0,0,119,80,48,0,0,303,43,6
"Coconino",2011,365,227,128,10,0,0,0,129,77,47,0,0,331,19,15
"Gila",2011,365,208,141,16,0,0,0,143,87,48,0,0,175,9,181
"La Paz",2011,196,104,84,8,0,0,0,136,87,50,0,0,196,0,0
"Maricopa",2011,365,27,273,48,10,4,3,572,119,70,0,11,164,131,59
"Mohave",2011,108,105,3,0,0,0,0,89,33,18,0,0,0,82,26
"Navajo",2011,365,246,118,1,0,0,0,105,74,46,0,0,361,1,3
"Pima",2011,365,166,179,20,0,0,0,144,90,51,0,8,246,46,65
"Pinal",2011,365,65,185,76,17,9,13,2403,155,83,0,0,72,10,283
"Santa Cruz",2011,352,209,141,2,0,0,0,104,73,44,0,0,0,34,318
"Yavapai",2011,243,168,72,3,0,0,0,126,74,44,0,0,179,63,1
"Yuma",2011,363,251,98,14,0,0,0,140,80,41,0,0,171,32,160
"Apache",2012,354,349,5,0,0,0,0,61,30,17,0,0,0,72,282
"Cochise",2012,360,189,162,9,0,0,0,120,84,50,0,0,301,47,12
"Coconino",2012,366,230,121,15,0,0,0,133,80,47,0,0,340,26,0
"Gila",2012,364,148,187,28,1,0,0,163,97,54,0,0,198,4,162
"La Paz",2012,239,140,88,11,0,0,0,115,90,49,0,0,239,0,0
"Maricopa",2012,366,33,265,61,6,1,0,268,115,71,0,12,192,106,56
"Mohave",2012,240,232,7,1,0,0,0,116,37,20,0,0,0,69,171
"Navajo",2012,366,245,114,7,0,0,0,126,80,45,0,0,350,1,15
"Pima",2012,366,164,193,9,0,0,0,143,84,51,0,8,224,48,86
"Pinal",2012,366,46,237,69,7,3,4,605,124,75,0,0,107,15,244
"Santa Cruz",2012,337,222,114,1,0,0,0,107,64,42,0,0,0,45,292
"Yavapai",2012,283,205,69,9,0,0,0,112,74,45,0,0,238,45,0
"Yuma",2012,366,224,116,24,2,0,0,166,90,47,0,0,179,29,158
"Apache",2013,357,356,1,0,0,0,0,52,27,13,0,0,0,58,299
"Cochise",2013,365,201,157,7,0,0,0,149,77,49,0,0,260,42,63
"Coconino",2013,364,257,104,3,0,0,0,115,71,46,0,0,350,14,0
"Gila",2013,365,197,156,11,0,1,0,276,84,49,0,0,200,3,162
"La Paz",2013,240,148,87,5,0,0,0,115,80,48,0,0,240,0,0
"Maricopa",2013,365,36,281,41,7,0,0,187,105,68,0,12,204,106,43
"Mohave",2013,358,339,18,1,0,0,0,127,38,18,0,0,0,63,295
"Navajo",2013,365,246,119,0,0,0,0,100,74,46,0,0,351,0,14
"Pima",2013,365,187,170,5,0,2,1,311,80,50,0,3,244,57,61
"Pinal",2013,365,91,195,56,15,5,3,947,131,69,0,0,107,23,235
"Santa Cruz",2013,344,228,111,3,2,0,0,159,67,41,0,0,0,176,168
"Yavapai",2013,288,226,61,1,0,0,0,101,64,44,0,0,244,42,2
"Yuma",2013,365,231,124,9,0,0,1,540,77,45,0,0,171,61,133
"Apache",2014,365,360,5,0,0,0,0,71,28,14,0,0,0,63,302
"Cochise",2014,365,201,159,5,0,0,0,137,69,48,0,0,234,77,54
"Coconino",2014,357,247,105,5,0,0,0,126,67,44,0,0,340,17,0
"Gila",2014,365,251,110,4,0,0,0,150,71,45,0,0,202,3,160
"La Paz",2014,358,264,90,4,0,0,0,136,67,44,0,1,348,3,6
"Maricopa",2014,365,32,288,42,2,1,0,246,108,69,0,8,193,112,52
"Mohave",2014,365,355,10,0,0,0,0,77,32,19,0,0,0,40,325
"Navajo",2014,365,272,91,2,0,0,0,101,64,44,0,0,359,1,5
"Pima",2014,365,197,165,3,0,0,0,129,74,50,0,4,222,66,73
"Pinal",2014,365,51,227,55,17,3,12,924,142,72,0,0,68,47,250
"Santa Cruz",2014,365,249,112,2,1,1,0,223,72,38,0,0,0,205,160
"Yavapai",2014,280,182,92,6,0,0,0,140,77,44,0,0,241,39,0
"Yuma",2014,365,204,144,12,3,2,0,284,84,49,0,0,187,85,93
"Apache",2015,361,361,0,0,0,0,0,46,21,11,0,0,0,74,287
"Cochise",2015,365,272,93,0,0,0,0,90,64,44,0,0,303,45,17
"Coconino",2015,365,258,103,4,0,0,0,108,74,44,0,0,357,8,0
"Gila",2015,365,258,102,5,0,0,0,129,74,43,0,0,268,8,89
"La Paz",2015,360,273,84,3,0,0,0,108,67,42,0,14,292,19,35
"Maricopa",2015,365,62,267,36,0,0,0,147,100,66,0,12,203,125,25
"Mohave",2015,364,350,14,0,0,0,0,62,34,17,0,0,0,74,290
"Navajo",2015,365,316,49,0,0,0,0,100,54,39,0,0,319,13,33
"Pima",2015,365,236,128,1,0,0,0,101,71,46,0,1,259,45,60
"Pinal",2015,365,86,233,33,3,0,10,924,108,63,0,0,129,57,179
"Santa Cruz",2015,365,261,101,3,0,0,0,135,65,38,0,0,0,341,24
"Yavapai",2015,300,235,65,0,0,0,0,100,64,41,0,0,274,26,0
"Yuma",2015,365,252,99,13,0,1,0,266,77,44,0,0,194,56,115
"Apache",2016,366,362,4,0,0,0,0,56,24,14,0,0,0,58,308
"Cochise",2016,366,278,86,2,0,0,0,141,61,44,0,0,313,15,38
"Coconino",2016,366,298,68,0,0,0,0,97,61,44,0,0,361,5,0
"Gila",2016,366,256,108,2,0,0,0,115,71,44,0,0,300,2,64
"La Paz",2016,365,290,74,1,0,0,0,101,67,42,0,3,261,69,32
"Maricopa",2016,366,47,282,36,0,1,0,227,101,67,0,16,175,109,66
"Mohave",2016,357,334,23,0,0,0,0,83,42,19,0,0,0,53,304
"Navajo",2016,366,299,67,0,0,0,0,90,54,43,0,0,350,2,14
"Pima",2016,366,191,171,4,0,0,0,119,74,50,0,0,231,34,101
"Pinal",2016,366,57,256,46,5,1,1,1348,108,69,0,0,89,70,207
"Santa Cruz",2016,363,193,169,0,0,1,0,209,65,48,0,0,0,316,47
"Yavapai",2016,349,299,50,0,0,0,0,90,54,40,0,0,343,6,0
"Yuma",2016,366,199,153,12,1,0,1,410,77,49,0,0,180,97,89
"Apache",2017,365,361,4,0,0,0,0,62,30,14,0,0,0,56,309
"Cochise",2017,365,248,115,2,0,0,0,111,71,45,0,0,288,29,48
"Coconino",2017,365,253,111,1,0,0,0,105,71,46,0,0,348,17,0
"Gila",2017,365,247,109,8,1,0,0,161,74,44,0,0,318,3,44
"La Paz",2017,361,273,86,2,0,0,0,105,64,44,3,0,309,46,3
"Maricopa",2017,365,38,272,50,5,0,0,173,108,71,0,11,198,79,77
"Mohave",2017,355,349,6,0,0,0,0,86,31,17,0,0,0,54,301
"Navajo",2017,365,278,86,1,0,0,0,101,64,44,0,0,349,2,14
"Pima",2017,365,121,237,7,0,0,0,122,80,54,0,0,188,77,100
"Pinal",2017,365,55,242,59,7,1,1,358,115,75,0,0,111,62,192
"Santa Cruz",2017,365,236,125,2,2,0,0,198,65,40,0,0,0,293,72
"Yavapai",2017,340,231,104,5,0,0,0,119,74,46,0,0,326,14,0
"Yuma",2017,365,201,150,12,1,1,0,235,73,49,0,0,168,142,55
"Apache",2018,358,354,4,0,0,0,0,58,27,13,0,0,0,58,300
"Cochise",2018,365,266,99,0,0,0,0,90,63,45,0,0,293,50,22
"Coconino",2018,365,236,126,3,0,0,0,126,77,45,0,0,351,14,0
"Gila",2018,365,220,122,22,1,0,0,171,87,47,0,0,328,2,35
"La Paz",2018,364,257,104,3,0,0,0,105,71,44,0,0,335,24,5
"Maricopa",2018,365,49,252,57,4,3,0,274,115,71,0,6,178,85,96
"Mohave",2018,363,349,13,1,0,0,0,105,35,18,0,0,0,54,309
"Navajo",2018,363,260,101,2,0,0,0,115,74,44,0,0,353,3,7
"Pima",2018,365,164,190,11,0,0,0,129,84,52,0,0,224,79,62
"Pinal",2018,365,71,243,34,6,3,8,1051,108,67,0,0,120,53,192
"Santa Cruz",2018,365,252,111,1,1,0,0,194,63,39,0,0,0,316,49
"Yavapai",2018,365,289,75,1,0,0,0,101,61,44,0,0,362,3,0
"Yuma",2018,365,202,147,15,1,0,0,169,80,49,0,0,178,129,58
"Apache",2019,359,357,2,0,0,0,0,64,21,11,0,0,0,62,297
"Cochise",2019,365,253,112,0,0,0,0,97,64,46,0,0,305,45,15
"Coconino",2019,365,280,85,0,0,0,0,80,61,45,0,0,349,16,0
"Gila",2019,365,210,139,16,0,0,0,146,87,48,0,0,349,1,15
"La Paz",2019,364,303,61,0,0,0,0,77,58,44,0,0,357,6,1
"Maricopa",2019,365,50,277,38,0,0,0,147,101,67,0,2,204,92,67
"Mohave",2019,365,358,7,0,0,0,0,69,29,14,0,0,0,52,313
"Navajo",2019,365,294,70,1,0,0,0,112,58,44,0,0,357,1,7
"Pima",2019,365,207,156,2,0,0,0,103,71,49,0,0,237,51,77
"Pinal",2019,365,104,228,21,2,3,7,929,100,63,0,0,148,66,151
"Santa Cruz",2019,362,250,110,2,0,0,0,120,67,39,0,0,0,323,39
"Yavapai",2019,357,298,59,0,0,0,0,87,54,43,0,0,355,2,0
"Yuma",2019,365,226,136,3,0,0,0,129,67,47,0,0,214,120,31
"Apache",2020,364,356,8,0,0,0,0,63,30,14,0,0,0,53,311
"Cochise",2020,366,271,93,2,0,0,0,108,61,45,0,0,301,4,61
"Coconino",2020,366,302,64,0,0,0,0,93,58,44,0,0,345,21,0
"Gila",2020,366,256,99,8,3,0,0,174,74,44,0,0,338,1,27
"La Paz",2020,366,292,72,2,0,0,0,125,58,44,0,0,350,9,7
"Maricopa",2020,366,11,154,60,66,75,0,282,216,112,0,0,271,63,32
"Mohave",2020,358,348,9,1,0,0,0,116,36,19,0,0,0,51,307
"Navajo",2020,366,314,50,2,0,0,0,136,54,43,0,0,359,4,3
"Pima",2020,366,124,229,12,0,1,0,277,77,55,0,0,169,99,98
"Pinal",2020,366,86,196,74,8,0,2,1194,121,73,0,0,123,60,183
"Santa Cruz",2020,360,208,147,4,1,0,0,170,71,44,0,0,0,303,57
"Yavapai",2020,331,265,65,1,0,0,0,119,61,45,0,0,331,0,0
"Yuma",2020,366,206,157,2,0,0,1,319,70,49,0,0,174,152,40
"Apache",2021,359,353,6,0,0,0,0,90,30,15,0,0,0,67,292
"Cochise",2021,365,259,104,2,0,0,0,105,60,45,0,0,307,2,56
"Coconino",2021,365,265,100,0,0,0,0,93,64,46,0,0,356,9,0
"Gila",2021,365,239,116,8,2,0,0,180,80,46,0,0,341,4,20
"La Paz",2021,362,254,107,0,1,0,0,187,71,46,0,0,351,7,4
"Maricopa",2021,365,12,128,91,61,73,0,297,213,122,0,0,295,27,43
"Mohave",2021,363,360,2,0,1,0,0,156,34,19,0,0,0,2,361
"Navajo",2021,365,292,72,1,0,0,0,101,61,44,0,0,337,4,24
"Pima",2021,365,93,258,13,0,0,1,313,85,56,0,0,147,145,73
"Pinal",2021,365,72,240,49,4,0,0,198,108,70,0,0,135,48,182
"Santa Cruz",2021,360,169,189,1,1,0,0,171,71,52,0,0,0,295,65
"Yavapai",2021,331,302,29,0,0,0,0,64,50,44,0,0,331,0,0
"Yuma",2021,365,186,173,5,1,0,0,170,71,50,0,0,174,146,45
"Apache",2022,363,359,4,0,0,0,0,57,27,11,0,0,0,58,305
"Cochise",2022,365,291,73,1,0,0,0,101,61,44,0,0,331,2,32
"Coconino",2022,365,279,85,1,0,0,0,101,64,44,0,0,358,7,0
"Gila",2022,365,245,102,16,2,0,0,177,84,45,0,0,339,2,24
"La Paz",2022,359,275,83,1,0,0,0,130,64,44,0,0,337,12,10
"Maricopa",2022,365,27,242,73,17,6,0,264,136,75,0,1,204,83,77
"Mohave",2022,357,340,16,1,0,0,0,115,32,17,0,0,0,0,357
"Navajo",2022,364,307,57,0,0,0,0,93,58,44,0,0,356,5,3
"Pima",2022,365,147,205,13,0,0,0,142,81,53,0,0,196,94,75
"Pinal",2022,365,91,238,28,3,2,3,689,100,61,0,0,138,40,187
"Santa Cruz",2022,357,220,136,1,0,0,0,138,69,43,0,0,0,328,29
"Yavapai",2022,365,341,24,0,0,0,0,87,48,40,0,0,365,0,0
"Yuma",2022,365,228,128,9,0,0,0,142,73,46,0,0,199,98,68
"Apache",2023,365,362,2,1,0,0,0,106,26,13,0,0,0,65,300
"Cochise",2023,365,272,90,3,0,0,0,108,64,44,0,0,317,1,47
"Coconino",2023,365,243,118,1,2,1,0,203,80,46,0,0,356,9,0
"Gila",2023,365,232,121,11,1,0,0,154,84,46,0,0,347,2,16
"La Paz",2023,364,257,104,3,0,0,0,126,74,45,0,0,345,6,13
"Maricopa",2023,365,41,256,61,7,0,0,183,119,72,0,0,193,91,81
"Mohave",2023,353,344,9,0,0,0,0,99,27,15,0,0,0,0,353
"Navajo",2023,364,290,74,0,0,0,0,84,64,43,0,0,357,2,5
"Pima",2023,365,123,235,7,0,0,0,147,84,54,0,0,179,123,63
"Pinal",2023,365,109,211,38,5,1,1,709,105,64,0,0,155,44,166
"Santa Cruz",2023,358,265,92,1,0,0,0,145,63,37,0,0,0,266,92
"Yavapai",2023,364,298,66,0,0,0,0,87,61,43,0,0,357,7,0
"Yuma",2023,365,204,150,6,4,0,1,519,74,48,0,0,213,72,80
"Apache",2024,352,350,2,0,0,0,0,57,25,14,0,0,0,53,299
"Cochise",2024,366,225,128,11,1,0,1,307,80,48,0,0,325,0,41
"Coconino",2024,366,253,108,5,0,0,0,136,74,46,0,0,361,5,0
"Gila",2024,366,193,144,27,2,0,0,159,97,50,0,0,341,1,24
"La Paz",2024,363,224,135,4,0,0,0,105,77,47,0,0,355,5,3
"Maricopa",2024,366,33,260,65,7,1,0,261,113,77,0,0,207,94,65
"Mohave",2024,352,347,5,0,0,0,0,69,30,19,0,0,0,1,351
"Navajo",2024,359,357,2,0,0,0,0,53,23,13,0,0,0,70,289
"Pima",2024,366,113,241,10,2,0,0,171,87,56,0,0,217,107,42
"Pinal",2024,366,77,219,65,3,1,1,337,111,77,0,0,158,43,165
"Santa Cruz",2024,360,212,140,7,0,0,1,494,72,43,0,0,0,278,82
"Yavapai",2024,366,225,139,2,0,0,0,115,80,47,0,0,365,1,0
"Yuma",2024,365,212,149,3,1,0,0,179,74,47,0,0,216,58,91
"Apache",2025,178,177,1,0,0,0,0,52,34,17,0,0,0,0,178
"Cochise",2025,181,134,43,2,1,0,1,328,64,44,0,0,93,0,88
"Coconino",2025,181,104,76,1,0,0,0,105,77,49,0,0,181,0,0
"Gila",2025,181,90,82,9,0,0,0,132,97,51,0,0,165,0,16
"La Paz",2025,179,118,61,0,0,0,0,100,74,47,0,0,169,4,6
"Maricopa",2025,182,8,151,22,0,0,1,366,101,76,1,0,104,31,46
"Mohave",2025,179,169,10,0,0,0,0,75,34,17,0,0,0,9,170
"Navajo",2025,181,181,0,0,0,0,0,45,23,13,0,0,0,0,181
"Pima",2025,181,91,85,2,2,1,0,251,67,50,0,0,21,45,115
"Pinal",2025,181,37,129,12,0,0,3,1215,99,66,0,0,108,13,60
"Santa Cruz",2025,180,95,83,1,1,0,0,187,68,48,0,0,0,140,40
"Yavapai",2025,178,103,75,0,0,0,0,97,74,49,0,0,178,0,0
"Yuma",2025,181,93,82,5,0,1,0,211,71,50,0,0,111,20,50
